date,female,male,deaths
2018-01-01,871,1451,2322
2018-02-01,707,1233,1940
2018-03-01,636,1128,1764
2018-04-01,523,1041,1564
2018-05-01,657,1120,1777
2018-06-01,608,994,1602
2018-07-01,621,1190,1811
2018-08-01,675,1282,1957
2018-09-01,745,1324,2069
2018-10-01,796,1432,2228
2018-11-01,728,1380,2108
2018-12-01,695,1391,2086
2019-01-01,883,1509,2392
2019-02-01,741,1317,2058
2019-03-01,774,1232,2006
2019-04-01,580,955,1535
2019-05-01,658,1099,1757
2019-06-01,578,1082,1660
2019-07-01,637,1172,1809
2019-08-01,745,1289,2034
2019-09-01,709,1252,1961
2019-10-01,712,1282,1994
2019-11-01,792,1290,2082
2019-12-01,753,1311,2064
2020-01-01,705,1270,1975
2020-02-01,675,1127,1802
2020-03-01,546,981,1527
2020-04-01,421,649,1070
2020-05-01,520,747,1267
2020-06-01,441,801,1242
2020-07-01,518,871,1389
2020-08-01,548,917,1465
2020-09-01,594,1011,1605
2020-10-01,598,1003,1601
2020-11-01,569,1090,1659
2020-12-01,608,1005,1613
2021-01-01,597,1035,1632
2021-02-01,536,895,1431
2021-03-01,585,962,1547
2021-04-01,757,1245,2002
2021-05-01,949,1465,2414
