date,female,male,deaths
2018-01-01,6812,11006,17818
2018-02-01,5538,9076,14614
2018-03-01,5298,9269,14567
2018-04-01,5034,8546,13580
2018-05-01,5325,9010,14335
2018-06-01,5474,9298,14772
2018-07-01,4543,8572,13115
2018-08-01,4785,8863,13648
2018-09-01,5118,8961,14079
2018-10-01,5555,10009,15564
2018-11-01,5731,10210,15941
2018-12-01,6018,10583,16601
2019-01-01,6540,11098,17638
2019-02-01,5869,9399,15268
2019-03-01,5621,9695,15316
2019-04-01,5015,8643,13658
2019-05-01,5368,9262,14630
2019-06-01,5607,9339,14946
2019-07-01,4742,8744,13486
2019-08-01,5280,9591,14871
2019-09-01,5382,9479,14861
2019-10-01,5302,9701,15003
2019-11-01,5587,9940,15527
2019-12-01,6840,11751,18591
2020-01-01,7317,11749,19066
2020-02-01,5963,9794,15757
2020-03-01,5474,9313,14787
2020-04-01,5072,7893,12965
2020-05-01,6013,9442,15455
2020-06-01,5638,9858,15496
2020-07-01,5573,10017,15590
2020-08-01,5537,10044,15581
2020-09-01,6233,11020,17253
2020-10-01,6002,10609,16611
2020-11-01,7366,12828,20194
2020-12-01,7337,12131,19468
2021-01-01,6719,11139,17858
2021-02-01,5160,8790,13950
2021-03-01,5543,9365,14908
2021-04-01,11198,17078,28276
2021-05-01,19442,26666,46108
