date,deaths
2015-01-01,21996
2015-02-01,18215
2015-03-01,19078
2015-04-01,17807
2015-05-01,19047
2015-06-01,18365
2015-07-01,20954
2015-08-01,20885
2015-09-01,18901
2015-10-01,19553
2015-11-01,20811
2015-12-01,21236
2016-01-01,21146
2016-02-01,18642
2016-03-01,19143
2016-04-01,20167
2016-05-01,19090
2016-06-01,20335
2016-07-01,23430
2016-08-01,22575
2016-09-01,21312
2016-10-01,19884
2016-11-01,18854
2016-12-01,20300
2017-01-01,20323
2017-02-01,18124
2017-03-01,19013
2017-04-01,19011
2017-05-01,20048
2017-06-01,22596
2017-07-01,26298
2017-08-01,23096
2017-09-01,21510
2017-10-01,20676
2017-11-01,20079
2017-12-01,21286
2018-01-01,22074
2018-02-01,19351
2018-03-01,19835
2018-04-01,18823
2018-05-01,19368
2018-06-01,20426
2018-07-01,23366
2018-08-01,25679
2018-09-01,22832
2018-10-01,21069
2018-11-01,21029
2018-12-01,21674
2019-01-01,23673
2019-02-01,19884
2019-03-01,20636
2019-04-01,19976
2019-05-01,20507
2019-06-01,20505
2019-07-01,24559
2019-08-01,25466
2019-09-01,24311
2019-10-01,22003
2019-11-01,21616
2019-12-01,20935
2020-01-01,21337
2020-02-01,19682
2020-03-01,19499
2020-04-01,17138
2020-05-01,17573
2020-06-01,19234
2020-07-01,20762
2020-08-01,23150
2020-09-01,22426
2020-10-01,24507
2020-11-01,21578
2020-12-01,22728
2021-01-01,23334
2021-02-01,21164
2021-03-01,20727
2021-04-01,20350
2021-05-01,28642
2021-06-01,7088
