date,deaths
2015-01-01,19624
2015-01-02,17316
2015-01-03,16406
2015-01-04,15576
2015-01-05,15454
2015-01-06,15614
2015-01-07,15095
2015-01-08,15619
2015-01-09,15986
2015-01-10,15975
2015-01-11,17089
2015-01-12,19707
2016-01-01,18193
2016-01-02,19079
2016-01-03,16119
2016-01-04,15880
2016-01-05,16331
2016-01-06,15902
2016-01-07,16566
2016-01-08,17813
2016-01-09,17451
2016-01-10,16624
2016-01-11,20123
2016-01-12,20386
2017-01-01,19081
2017-01-02,17634
2017-01-03,16784
2017-01-04,15544
2017-01-05,16204
2017-01-06,16441
2017-01-07,16089
2017-01-08,17086
2017-01-09,16407
2017-01-10,16884
2017-01-11,18861
2017-01-12,20624
2018-01-01,22195
2018-01-02,19506
2018-01-03,16005
2018-01-04,15707
2018-01-05,15975
2018-01-06,16468
2018-01-07,16338
2018-01-08,17019
2018-01-09,16131
2018-01-10,17981
2018-01-11,18849
2018-01-12,19039
2019-01-01,22456
2019-01-02,19904
2019-01-03,17442
2019-01-04,15845
2019-01-05,15661
2019-01-06,16515
2019-01-07,15771
2019-01-08,16011
2019-01-09,18031
2019-01-10,16916
2019-01-11,18972
2019-01-12,19598
2020-01-01,22870
2020-01-02,18482
2020-01-03,16185
2020-01-04,14475
2020-01-05,16753
2020-01-06,17606
2020-01-07,17411
2020-01-08,18014
2020-01-09,21393
2020-01-10,21096
2020-01-11,20823
2020-01-12,23028
2021-01-01,20682
2021-01-02,18676
2021-01-03,19100
2021-01-04,24983
2021-01-05,37292
2021-01-06,26656
