date,deaths
2018-01-01,44067
2018-02-01,32036
2018-03-01,29986
2018-04-01,25484
2018-05-01,27630
2018-06-01,27509
2018-07-01,27650
2018-08-01,29809
2018-09-01,31350
2018-10-01,33413
2018-11-01,34698
2018-12-01,41949
2019-01-01,44476
2019-02-01,37050
2019-03-01,36797
2019-04-01,31733
2019-05-01,33102
2019-06-01,35373
2019-07-01,36793
2019-08-01,35742
2019-09-01,33254
2019-10-01,39812
2019-11-01,41958
2019-12-01,51471
2020-01-01,52439
2020-02-01,44182
2020-03-01,36376
2020-04-01,32933
2020-05-01,36542
2020-06-01,37480
2020-07-01,44056
2020-08-01,47965
2020-09-01,46553
2020-10-01,56450
2020-11-01,46343
2020-12-01,57444
2021-01-01,51745
2021-02-01,42479
2021-03-01,35659
2021-04-01,46816
2021-05-01,76183
