date,state,district,female,male,deaths
2018-01-01,Chandigarh,Chandigarh,871,1451,2322
2018-02-01,Chandigarh,Chandigarh,707,1233,1940
2018-03-01,Chandigarh,Chandigarh,636,1128,1764
2018-04-01,Chandigarh,Chandigarh,523,1041,1564
2018-05-01,Chandigarh,Chandigarh,657,1120,1777
2018-06-01,Chandigarh,Chandigarh,608,994,1602
2018-07-01,Chandigarh,Chandigarh,621,1190,1811
2018-08-01,Chandigarh,Chandigarh,675,1282,1957
2018-09-01,Chandigarh,Chandigarh,745,1324,2069
2018-10-01,Chandigarh,Chandigarh,796,1432,2228
2018-11-01,Chandigarh,Chandigarh,728,1380,2108
2018-12-01,Chandigarh,Chandigarh,695,1391,2086
2019-01-01,Chandigarh,Chandigarh,883,1509,2392
2019-02-01,Chandigarh,Chandigarh,741,1317,2058
2019-03-01,Chandigarh,Chandigarh,774,1232,2006
2019-04-01,Chandigarh,Chandigarh,580,955,1535
2019-05-01,Chandigarh,Chandigarh,658,1099,1757
2019-06-01,Chandigarh,Chandigarh,578,1082,1660
2019-07-01,Chandigarh,Chandigarh,637,1172,1809
2019-08-01,Chandigarh,Chandigarh,745,1289,2034
2019-09-01,Chandigarh,Chandigarh,709,1252,1961
2019-10-01,Chandigarh,Chandigarh,712,1282,1994
2019-11-01,Chandigarh,Chandigarh,792,1290,2082
2019-12-01,Chandigarh,Chandigarh,753,1311,2064
2020-01-01,Chandigarh,Chandigarh,705,1270,1975
2020-02-01,Chandigarh,Chandigarh,675,1127,1802
2020-03-01,Chandigarh,Chandigarh,546,981,1527
2020-04-01,Chandigarh,Chandigarh,421,649,1070
2020-05-01,Chandigarh,Chandigarh,520,747,1267
2020-06-01,Chandigarh,Chandigarh,441,801,1242
2020-07-01,Chandigarh,Chandigarh,518,871,1389
2020-08-01,Chandigarh,Chandigarh,548,917,1465
2020-09-01,Chandigarh,Chandigarh,594,1011,1605
2020-10-01,Chandigarh,Chandigarh,598,1003,1601
2020-11-01,Chandigarh,Chandigarh,569,1090,1659
2020-12-01,Chandigarh,Chandigarh,608,1005,1613
2021-01-01,Chandigarh,Chandigarh,597,1035,1632
2021-02-01,Chandigarh,Chandigarh,536,895,1431
2021-03-01,Chandigarh,Chandigarh,585,962,1547
2021-04-01,Chandigarh,Chandigarh,757,1245,2002
2021-05-01,Chandigarh,Chandigarh,949,1465,2414
