date,state,district,female,male,deaths
2018-01-01,Haryana,Panchkula,181,233,414
2018-01-01,Haryana,Ambala,388,562,950
2018-01-01,Haryana,Yamunanagar,402,582,984
2018-01-01,Haryana,Kurukshetra,303,410,713
2018-01-01,Haryana,Kaithal,248,422,670
2018-01-01,Haryana,Karnal,443,628,1071
2018-01-01,Haryana,Panipat,306,501,807
2018-01-01,Haryana,Sonipat,392,633,1025
2018-01-01,Haryana,Jind,319,504,823
2018-01-01,Haryana,Fatehabad,244,356,600
2018-01-01,Haryana,Sirsa,324,537,861
2018-01-01,Haryana,Hisar,566,1019,1585
2018-01-01,Haryana,Bhiwani,249,420,669
2018-01-01,Haryana,Rohtak,498,860,1358
2018-01-01,Haryana,Jhajjar,232,394,626
2018-01-01,Haryana,Mahendragarh,236,333,569
2018-01-01,Haryana,Rewari,262,369,631
2018-01-01,Haryana,Gurugram,416,786,1202
2018-01-01,Haryana,Nuh,146,271,417
2018-01-01,Haryana,Faridabad,410,744,1154
2018-01-01,Haryana,Palwal ,171,300,471
2018-01-01,Haryana,Charkhi Dadri,76,142,218
2018-02-01,Haryana,Panchkula,156,224,380
2018-02-01,Haryana,Ambala,362,437,799
2018-02-01,Haryana,Yamunanagar,301,452,753
2018-02-01,Haryana,Kurukshetra,231,343,574
2018-02-01,Haryana,Kaithal,230,427,657
2018-02-01,Haryana,Karnal,347,498,845
2018-02-01,Haryana,Panipat,260,430,690
2018-02-01,Haryana,Sonipat,300,485,785
2018-02-01,Haryana,Jind,278,450,728
2018-02-01,Haryana,Fatehabad,177,279,456
2018-02-01,Haryana,Sirsa,279,396,675
2018-02-01,Haryana,Hisar,464,787,1251
2018-02-01,Haryana,Bhiwani,196,339,535
2018-02-01,Haryana,Rohtak,380,746,1126
2018-02-01,Haryana,Jhajjar,186,310,496
2018-02-01,Haryana,Mahendragarh,182,313,495
2018-02-01,Haryana,Rewari,176,326,502
2018-02-01,Haryana,Gurugram,355,641,996
2018-02-01,Haryana,Nuh,141,259,400
2018-02-01,Haryana,Faridabad,319,585,904
2018-02-01,Haryana,Palwal ,153,244,397
2018-02-01,Haryana,Charkhi Dadri,65,105,170
2018-03-01,Haryana,Panchkula,128,211,339
2018-03-01,Haryana,Ambala,307,414,721
2018-03-01,Haryana,Yamunanagar,310,468,778
2018-03-01,Haryana,Kurukshetra,220,351,571
2018-03-01,Haryana,Kaithal,231,447,678
2018-03-01,Haryana,Karnal,327,558,885
2018-03-01,Haryana,Panipat,233,446,679
2018-03-01,Haryana,Sonipat,307,535,842
2018-03-01,Haryana,Jind,271,473,744
2018-03-01,Haryana,Fatehabad,196,291,487
2018-03-01,Haryana,Sirsa,248,404,652
2018-03-01,Haryana,Hisar,477,858,1335
2018-03-01,Haryana,Bhiwani,199,364,563
2018-03-01,Haryana,Rohtak,355,709,1064
2018-03-01,Haryana,Jhajjar,166,319,485
2018-03-01,Haryana,Mahendragarh,175,276,451
2018-03-01,Haryana,Rewari,150,295,445
2018-03-01,Haryana,Gurugram,324,589,913
2018-03-01,Haryana,Nuh,154,257,411
2018-03-01,Haryana,Faridabad,300,611,911
2018-03-01,Haryana,Palwal ,145,266,411
2018-03-01,Haryana,Charkhi Dadri,75,127,202
2018-04-01,Haryana,Panchkula,129,182,311
2018-04-01,Haryana,Ambala,266,443,709
2018-04-01,Haryana,Yamunanagar,268,431,699
2018-04-01,Haryana,Kurukshetra,195,313,508
2018-04-01,Haryana,Kaithal,212,375,587
2018-04-01,Haryana,Karnal,323,526,849
2018-04-01,Haryana,Panipat,207,383,590
2018-04-01,Haryana,Sonipat,255,514,769
2018-04-01,Haryana,Jind,253,433,686
2018-04-01,Haryana,Fatehabad,174,269,443
2018-04-01,Haryana,Sirsa,243,387,630
2018-04-01,Haryana,Hisar,417,780,1197
2018-04-01,Haryana,Bhiwani,195,326,521
2018-04-01,Haryana,Rohtak,366,652,1018
2018-04-01,Haryana,Jhajjar,177,301,478
2018-04-01,Haryana,Mahendragarh,191,265,456
2018-04-01,Haryana,Rewari,198,275,473
2018-04-01,Haryana,Gurugram,314,558,872
2018-04-01,Haryana,Nuh,132,257,389
2018-04-01,Haryana,Faridabad,304,468,772
2018-04-01,Haryana,Palwal ,157,278,435
2018-04-01,Haryana,Charkhi Dadri,58,130,188
2018-05-01,Haryana,Panchkula,107,202,309
2018-05-01,Haryana,Ambala,279,433,712
2018-05-01,Haryana,Yamunanagar,254,413,667
2018-05-01,Haryana,Kurukshetra,212,359,571
2018-05-01,Haryana,Kaithal,230,422,652
2018-05-01,Haryana,Karnal,348,572,920
2018-05-01,Haryana,Panipat,224,386,610
2018-05-01,Haryana,Sonipat,312,494,806
2018-05-01,Haryana,Jind,274,449,723
2018-05-01,Haryana,Fatehabad,202,275,477
2018-05-01,Haryana,Sirsa,250,407,657
2018-05-01,Haryana,Hisar,435,852,1287
2018-05-01,Haryana,Bhiwani,224,344,568
2018-05-01,Haryana,Rohtak,350,700,1050
2018-05-01,Haryana,Jhajjar,185,311,496
2018-05-01,Haryana,Mahendragarh,185,294,479
2018-05-01,Haryana,Rewari,199,290,489
2018-05-01,Haryana,Gurugram,338,578,916
2018-05-01,Haryana,Nuh,158,293,451
2018-05-01,Haryana,Faridabad,323,536,859
2018-05-01,Haryana,Palwal ,157,302,459
2018-05-01,Haryana,Charkhi Dadri,79,98,177
2018-06-01,Haryana,Panchkula,111,199,310
2018-06-01,Haryana,Ambala,268,459,727
2018-06-01,Haryana,Yamunanagar,250,395,645
2018-06-01,Haryana,Kurukshetra,211,338,549
2018-06-01,Haryana,Kaithal,226,406,632
2018-06-01,Haryana,Karnal,334,475,809
2018-06-01,Haryana,Panipat,240,465,705
2018-06-01,Haryana,Sonipat,322,518,840
2018-06-01,Haryana,Jind,253,464,717
2018-06-01,Haryana,Fatehabad,186,286,472
2018-06-01,Haryana,Sirsa,253,370,623
2018-06-01,Haryana,Hisar,512,860,1372
2018-06-01,Haryana,Bhiwani,229,360,589
2018-06-01,Haryana,Rohtak,395,753,1148
2018-06-01,Haryana,Jhajjar,217,328,545
2018-06-01,Haryana,Mahendragarh,189,345,534
2018-06-01,Haryana,Rewari,212,360,572
2018-06-01,Haryana,Gurugram,319,613,932
2018-06-01,Haryana,Nuh,153,281,434
2018-06-01,Haryana,Faridabad,344,596,940
2018-06-01,Haryana,Palwal ,155,295,450
2018-06-01,Haryana,Charkhi Dadri,95,132,227
2018-07-01,Haryana,Panchkula,124,196,320
2018-07-01,Haryana,Ambala,236,388,624
2018-07-01,Haryana,Yamunanagar,220,388,608
2018-07-01,Haryana,Kurukshetra,205,350,555
2018-07-01,Haryana,Kaithal,211,388,599
2018-07-01,Haryana,Karnal,287,483,770
2018-07-01,Haryana,Panipat,200,412,612
2018-07-01,Haryana,Sonipat,260,496,756
2018-07-01,Haryana,Jind,233,450,683
2018-07-01,Haryana,Fatehabad,178,276,454
2018-07-01,Haryana,Sirsa,208,393,601
2018-07-01,Haryana,Hisar,385,807,1192
2018-07-01,Haryana,Bhiwani,173,312,485
2018-07-01,Haryana,Rohtak,320,638,958
2018-07-01,Haryana,Jhajjar,130,290,420
2018-07-01,Haryana,Mahendragarh,162,290,452
2018-07-01,Haryana,Rewari,143,290,433
2018-07-01,Haryana,Gurugram,271,592,863
2018-07-01,Haryana,Nuh,133,256,389
2018-07-01,Haryana,Faridabad,270,471,741
2018-07-01,Haryana,Palwal ,133,318,451
2018-07-01,Haryana,Charkhi Dadri,61,88,149
2018-08-01,Haryana,Panchkula,108,193,301
2018-08-01,Haryana,Ambala,282,455,737
2018-08-01,Haryana,Yamunanagar,246,381,627
2018-08-01,Haryana,Kurukshetra,181,347,528
2018-08-01,Haryana,Kaithal,227,380,607
2018-08-01,Haryana,Karnal,317,536,853
2018-08-01,Haryana,Panipat,196,414,610
2018-08-01,Haryana,Sonipat,262,495,757
2018-08-01,Haryana,Jind,237,466,703
2018-08-01,Haryana,Fatehabad,163,291,454
2018-08-01,Haryana,Sirsa,209,385,594
2018-08-01,Haryana,Hisar,391,783,1174
2018-08-01,Haryana,Bhiwani,155,301,456
2018-08-01,Haryana,Rohtak,310,689,999
2018-08-01,Haryana,Jhajjar,154,268,422
2018-08-01,Haryana,Mahendragarh,158,261,419
2018-08-01,Haryana,Rewari,177,332,509
2018-08-01,Haryana,Gurugram,297,666,963
2018-08-01,Haryana,Nuh,174,277,451
2018-08-01,Haryana,Faridabad,326,548,874
2018-08-01,Haryana,Palwal ,145,292,437
2018-08-01,Haryana,Charkhi Dadri,70,103,173
2018-09-01,Haryana,Panchkula,129,204,333
2018-09-01,Haryana,Ambala,296,491,787
2018-09-01,Haryana,Yamunanagar,310,447,757
2018-09-01,Haryana,Kurukshetra,192,367,559
2018-09-01,Haryana,Kaithal,216,396,612
2018-09-01,Haryana,Karnal,349,608,957
2018-09-01,Haryana,Panipat,242,391,633
2018-09-01,Haryana,Sonipat,281,491,772
2018-09-01,Haryana,Jind,236,426,662
2018-09-01,Haryana,Fatehabad,160,253,413
2018-09-01,Haryana,Sirsa,232,364,596
2018-09-01,Haryana,Hisar,358,733,1091
2018-09-01,Haryana,Bhiwani,158,316,474
2018-09-01,Haryana,Rohtak,352,656,1008
2018-09-01,Haryana,Jhajjar,156,288,444
2018-09-01,Haryana,Mahendragarh,150,271,421
2018-09-01,Haryana,Rewari,176,308,484
2018-09-01,Haryana,Gurugram,372,718,1090
2018-09-01,Haryana,Nuh,181,281,462
2018-09-01,Haryana,Faridabad,326,582,908
2018-09-01,Haryana,Palwal ,175,272,447
2018-09-01,Haryana,Charkhi Dadri,71,98,169
2018-10-01,Haryana,Panchkula,123,253,376
2018-10-01,Haryana,Ambala,305,542,847
2018-10-01,Haryana,Yamunanagar,292,466,758
2018-10-01,Haryana,Kurukshetra,242,397,639
2018-10-01,Haryana,Kaithal,278,467,745
2018-10-01,Haryana,Karnal,444,749,1193
2018-10-01,Haryana,Panipat,256,446,702
2018-10-01,Haryana,Sonipat,304,539,843
2018-10-01,Haryana,Jind,270,487,757
2018-10-01,Haryana,Fatehabad,194,312,506
2018-10-01,Haryana,Sirsa,260,459,719
2018-10-01,Haryana,Hisar,442,875,1317
2018-10-01,Haryana,Bhiwani,199,344,543
2018-10-01,Haryana,Rohtak,349,767,1116
2018-10-01,Haryana,Jhajjar,184,271,455
2018-10-01,Haryana,Mahendragarh,167,288,455
2018-10-01,Haryana,Rewari,179,317,496
2018-10-01,Haryana,Gurugram,327,759,1086
2018-10-01,Haryana,Nuh,158,266,424
2018-10-01,Haryana,Faridabad,341,606,947
2018-10-01,Haryana,Palwal ,167,290,457
2018-10-01,Haryana,Charkhi Dadri,74,109,183
2018-11-01,Haryana,Panchkula,139,204,343
2018-11-01,Haryana,Ambala,341,466,807
2018-11-01,Haryana,Yamunanagar,289,539,828
2018-11-01,Haryana,Kurukshetra,248,419,667
2018-11-01,Haryana,Kaithal,280,486,766
2018-11-01,Haryana,Karnal,388,629,1017
2018-11-01,Haryana,Panipat,245,521,766
2018-11-01,Haryana,Sonipat,294,585,879
2018-11-01,Haryana,Jind,275,539,814
2018-11-01,Haryana,Fatehabad,211,359,570
2018-11-01,Haryana,Sirsa,271,420,691
2018-11-01,Haryana,Hisar,481,873,1354
2018-11-01,Haryana,Bhiwani,223,389,612
2018-11-01,Haryana,Rohtak,392,774,1166
2018-11-01,Haryana,Jhajjar,187,322,509
2018-11-01,Haryana,Mahendragarh,175,294,469
2018-11-01,Haryana,Rewari,180,328,508
2018-11-01,Haryana,Gurugram,373,694,1067
2018-11-01,Haryana,Nuh,151,287,438
2018-11-01,Haryana,Faridabad,334,625,959
2018-11-01,Haryana,Palwal ,186,336,522
2018-11-01,Haryana,Charkhi Dadri,68,121,189
2018-12-01,Haryana,Panchkula,152,238,390
2018-12-01,Haryana,Ambala,358,595,953
2018-12-01,Haryana,Yamunanagar,317,525,842
2018-12-01,Haryana,Kurukshetra,276,417,693
2018-12-01,Haryana,Kaithal,256,503,759
2018-12-01,Haryana,Karnal,417,643,1060
2018-12-01,Haryana,Panipat,251,495,746
2018-12-01,Haryana,Sonipat,355,600,955
2018-12-01,Haryana,Jind,276,518,794
2018-12-01,Haryana,Fatehabad,228,312,540
2018-12-01,Haryana,Sirsa,282,451,733
2018-12-01,Haryana,Hisar,516,962,1478
2018-12-01,Haryana,Bhiwani,223,373,596
2018-12-01,Haryana,Rohtak,364,745,1109
2018-12-01,Haryana,Jhajjar,213,406,619
2018-12-01,Haryana,Mahendragarh,185,320,505
2018-12-01,Haryana,Rewari,201,351,552
2018-12-01,Haryana,Gurugram,379,705,1084
2018-12-01,Haryana,Nuh,133,317,450
