date,state,district,female,male,deaths
2018-01-01,Himachal Pradesh,Chamba,96,139,235
2018-01-01,Himachal Pradesh,Kangra,411,618,1029
2018-01-01,Himachal Pradesh,Lahul & Spiti,11,11,22
2018-01-01,Himachal Pradesh,Kullu,117,161,278
2018-01-01,Himachal Pradesh,Mandi,260,343,603
2018-01-01,Himachal Pradesh,Hamirpur,155,182,337
2018-01-01,Himachal Pradesh,Una,198,254,452
2018-01-01,Himachal Pradesh,Bilaspur,114,163,277
2018-01-01,Himachal Pradesh,Solan,106,184,290
2018-01-01,Himachal Pradesh,Sirmaur,122,168,290
2018-01-01,Himachal Pradesh,Shimla,201,342,543
2018-01-01,Himachal Pradesh,Kinnaur,6,7,13
2018-02-01,Himachal Pradesh,Chamba,102,120,222
2018-02-01,Himachal Pradesh,Kangra,356,494,850
2018-02-01,Himachal Pradesh,Lahul & Spiti,7,3,10
2018-02-01,Himachal Pradesh,Kullu,97,137,234
2018-02-01,Himachal Pradesh,Mandi,226,291,517
2018-02-01,Himachal Pradesh,Hamirpur,113,166,279
2018-02-01,Himachal Pradesh,Una,170,187,357
2018-02-01,Himachal Pradesh,Bilaspur,82,114,196
2018-02-01,Himachal Pradesh,Solan,92,154,246
2018-02-01,Himachal Pradesh,Sirmaur,102,129,231
2018-02-01,Himachal Pradesh,Shimla,197,248,445
2018-02-01,Himachal Pradesh,Kinnaur,2,9,11
2018-03-01,Himachal Pradesh,Chamba,88,123,211
2018-03-01,Himachal Pradesh,Kangra,349,496,845
2018-03-01,Himachal Pradesh,Lahul & Spiti,7,4,11
2018-03-01,Himachal Pradesh,Kullu,108,120,228
2018-03-01,Himachal Pradesh,Mandi,213,266,479
2018-03-01,Himachal Pradesh,Hamirpur,115,118,233
2018-03-01,Himachal Pradesh,Una,140,204,344
2018-03-01,Himachal Pradesh,Bilaspur,89,127,216
2018-03-01,Himachal Pradesh,Solan,71,135,206
2018-03-01,Himachal Pradesh,Sirmaur,112,129,241
2018-03-01,Himachal Pradesh,Shimla,200,285,485
2018-03-01,Himachal Pradesh,Kinnaur,3,5,8
2018-04-01,Himachal Pradesh,Chamba,63,127,190
2018-04-01,Himachal Pradesh,Kangra,298,405,703
2018-04-01,Himachal Pradesh,Lahul & Spiti,8,11,19
2018-04-01,Himachal Pradesh,Kullu,92,111,203
2018-04-01,Himachal Pradesh,Mandi,151,210,361
2018-04-01,Himachal Pradesh,Hamirpur,87,113,200
2018-04-01,Himachal Pradesh,Una,139,180,319
2018-04-01,Himachal Pradesh,Bilaspur,65,92,157
2018-04-01,Himachal Pradesh,Solan,79,134,213
2018-04-01,Himachal Pradesh,Sirmaur,77,119,196
2018-04-01,Himachal Pradesh,Shimla,177,264,441
2018-04-01,Himachal Pradesh,Kinnaur,5,6,11
2018-05-01,Himachal Pradesh,Chamba,98,150,248
2018-05-01,Himachal Pradesh,Kangra,341,473,814
2018-05-01,Himachal Pradesh,Lahul & Spiti,6,8,14
2018-05-01,Himachal Pradesh,Kullu,88,122,210
2018-05-01,Himachal Pradesh,Mandi,144,248,392
2018-05-01,Himachal Pradesh,Hamirpur,103,134,237
2018-05-01,Himachal Pradesh,Una,120,177,297
2018-05-01,Himachal Pradesh,Bilaspur,93,95,188
2018-05-01,Himachal Pradesh,Solan,86,133,219
2018-05-01,Himachal Pradesh,Sirmaur,85,119,204
2018-05-01,Himachal Pradesh,Shimla,169,262,431
2018-05-01,Himachal Pradesh,Kinnaur,9,9,18
2018-06-01,Himachal Pradesh,Chamba,66,101,167
2018-06-01,Himachal Pradesh,Kangra,327,453,780
2018-06-01,Himachal Pradesh,Lahul & Spiti,7,5,12
2018-06-01,Himachal Pradesh,Kullu,69,114,183
2018-06-01,Himachal Pradesh,Mandi,168,218,386
2018-06-01,Himachal Pradesh,Hamirpur,98,135,233
2018-06-01,Himachal Pradesh,Una,117,176,293
2018-06-01,Himachal Pradesh,Bilaspur,69,101,170
2018-06-01,Himachal Pradesh,Solan,78,122,200
2018-06-01,Himachal Pradesh,Sirmaur,75,115,190
2018-06-01,Himachal Pradesh,Shimla,150,273,423
2018-06-01,Himachal Pradesh,Kinnaur,6,5,11
2018-07-01,Himachal Pradesh,Chamba,81,102,183
2018-07-01,Himachal Pradesh,Kangra,310,433,743
2018-07-01,Himachal Pradesh,Lahul & Spiti,8,5,13
2018-07-01,Himachal Pradesh,Kullu,62,112,174
2018-07-01,Himachal Pradesh,Mandi,174,220,394
2018-07-01,Himachal Pradesh,Hamirpur,99,122,221
2018-07-01,Himachal Pradesh,Una,92,175,267
2018-07-01,Himachal Pradesh,Bilaspur,66,98,164
2018-07-01,Himachal Pradesh,Solan,84,117,201
2018-07-01,Himachal Pradesh,Sirmaur,82,92,174
2018-07-01,Himachal Pradesh,Shimla,142,245,387
2018-07-01,Himachal Pradesh,Kinnaur,3,8,11
2018-08-01,Himachal Pradesh,Chamba,81,140,221
2018-08-01,Himachal Pradesh,Kangra,299,414,713
2018-08-01,Himachal Pradesh,Lahul & Spiti,5,10,15
2018-08-01,Himachal Pradesh,Kullu,89,125,214
2018-08-01,Himachal Pradesh,Mandi,150,212,362
2018-08-01,Himachal Pradesh,Hamirpur,104,105,209
2018-08-01,Himachal Pradesh,Una,122,158,280
2018-08-01,Himachal Pradesh,Bilaspur,73,72,145
2018-08-01,Himachal Pradesh,Solan,86,120,206
2018-08-01,Himachal Pradesh,Sirmaur,83,110,193
2018-08-01,Himachal Pradesh,Shimla,159,265,424
2018-08-01,Himachal Pradesh,Kinnaur,3,3,6
2018-09-01,Himachal Pradesh,Chamba,77,122,199
2018-09-01,Himachal Pradesh,Kangra,321,442,763
2018-09-01,Himachal Pradesh,Lahul & Spiti,4,8,12
2018-09-01,Himachal Pradesh,Kullu,81,108,189
2018-09-01,Himachal Pradesh,Mandi,170,212,382
2018-09-01,Himachal Pradesh,Hamirpur,86,122,208
2018-09-01,Himachal Pradesh,Una,136,179,315
2018-09-01,Himachal Pradesh,Bilaspur,62,90,152
2018-09-01,Himachal Pradesh,Solan,75,99,174
2018-09-01,Himachal Pradesh,Sirmaur,73,94,167
2018-09-01,Himachal Pradesh,Shimla,191,279,470
2018-09-01,Himachal Pradesh,Kinnaur,3,8,11
2018-10-01,Himachal Pradesh,Chamba,93,107,200
2018-10-01,Himachal Pradesh,Kangra,319,473,792
2018-10-01,Himachal Pradesh,Lahul & Spiti,6,11,17
2018-10-01,Himachal Pradesh,Kullu,69,132,201
2018-10-01,Himachal Pradesh,Mandi,165,234,399
2018-10-01,Himachal Pradesh,Hamirpur,121,151,272
2018-10-01,Himachal Pradesh,Una,137,157,294
2018-10-01,Himachal Pradesh,Bilaspur,93,98,191
2018-10-01,Himachal Pradesh,Solan,87,147,234
2018-10-01,Himachal Pradesh,Sirmaur,76,136,212
2018-10-01,Himachal Pradesh,Shimla,192,298,490
2018-10-01,Himachal Pradesh,Kinnaur,3,10,13
2018-11-01,Himachal Pradesh,Chamba,71,118,189
2018-11-01,Himachal Pradesh,Kangra,310,423,733
2018-11-01,Himachal Pradesh,Lahul & Spiti,3,5,8
2018-11-01,Himachal Pradesh,Kullu,104,114,218
2018-11-01,Himachal Pradesh,Mandi,182,245,427
2018-11-01,Himachal Pradesh,Hamirpur,124,140,264
2018-11-01,Himachal Pradesh,Una,160,188,348
2018-11-01,Himachal Pradesh,Bilaspur,92,109,201
2018-11-01,Himachal Pradesh,Solan,62,131,193
2018-11-01,Himachal Pradesh,Sirmaur,101,119,220
2018-11-01,Himachal Pradesh,Shimla,192,256,448
2018-11-01,Himachal Pradesh,Kinnaur,3,3,6
2018-12-01,Himachal Pradesh,Chamba,89,114,203
2018-12-01,Himachal Pradesh,Kangra,339,555,894
2018-12-01,Himachal Pradesh,Lahul & Spiti,1,6,7
2018-12-01,Himachal Pradesh,Kullu,95,142,237
2018-12-01,Himachal Pradesh,Mandi,210,281,491
2018-12-01,Himachal Pradesh,Hamirpur,120,158,278
2018-12-01,Himachal Pradesh,Una,183,233,416
2018-12-01,Himachal Pradesh,Bilaspur,106,148,254
2018-12-01,Himachal Pradesh,Solan,101,158,259
2018-12-01,Himachal Pradesh,Sirmaur,91,144,235
2018-12-01,Himachal Pradesh,Shimla,215,293,508
2018-12-01,Himachal Pradesh,Kinnaur,5,7,12
2019-01-01,Himachal Pradesh,Chamba,94,141,235
2019-01-01,Himachal Pradesh,Kangra,433,576,1009
2019-01-01,Himachal Pradesh,Lahul & Spiti,4,7,11
2019-01-01,Himachal Pradesh,Kullu,96,140,236
2019-01-01,Himachal Pradesh,Mandi,264,320,584
2019-01-01,Himachal Pradesh,Hamirpur,119,156,275
2019-01-01,Himachal Pradesh,Una,183,199,382
2019-01-01,Himachal Pradesh,Bilaspur,107,129,236
2019-01-01,Himachal Pradesh,Solan,105,169,274
2019-01-01,Himachal Pradesh,Sirmaur,87,134,221
2019-01-01,Himachal Pradesh,Shimla,210,304,514
2019-01-01,Himachal Pradesh,Kinnaur,5,8,13
2019-02-01,Himachal Pradesh,Chamba,93,131,224
2019-02-01,Himachal Pradesh,Kangra,415,545,960
2019-02-01,Himachal Pradesh,Lahul & Spiti,6,7,13
2019-02-01,Himachal Pradesh,Kullu,106,135,241
2019-02-01,Himachal Pradesh,Mandi,240,307,547
2019-02-01,Himachal Pradesh,Hamirpur,125,140,265
2019-02-01,Himachal Pradesh,Una,147,227,374
2019-02-01,Himachal Pradesh,Bilaspur,88,118,206
2019-02-01,Himachal Pradesh,Solan,103,142,245
2019-02-01,Himachal Pradesh,Sirmaur,80,106,186
2019-02-01,Himachal Pradesh,Shimla,206,316,522
2019-02-01,Himachal Pradesh,Kinnaur,4,7,11
2019-03-01,Himachal Pradesh,Chamba,106,139,245
2019-03-01,Himachal Pradesh,Kangra,355,524,879
2019-03-01,Himachal Pradesh,Lahul & Spiti,4,2,6
2019-03-01,Himachal Pradesh,Kullu,105,132,237
2019-03-01,Himachal Pradesh,Mandi,215,316,531
2019-03-01,Himachal Pradesh,Hamirpur,97,142,239
2019-03-01,Himachal Pradesh,Una,155,207,362
2019-03-01,Himachal Pradesh,Bilaspur,81,112,193
2019-03-01,Himachal Pradesh,Solan,100,138,238
2019-03-01,Himachal Pradesh,Sirmaur,108,126,234
2019-03-01,Himachal Pradesh,Shimla,215,313,528
2019-03-01,Himachal Pradesh,Kinnaur,1,8,9
2019-04-01,Himachal Pradesh,Chamba,97,116,213
2019-04-01,Himachal Pradesh,Kangra,298,425,723
2019-04-01,Himachal Pradesh,Lahul & Spiti,6,5,11
2019-04-01,Himachal Pradesh,Kullu,83,111,194
2019-04-01,Himachal Pradesh,Mandi,154,235,389
2019-04-01,Himachal Pradesh,Hamirpur,84,122,206
2019-04-01,Himachal Pradesh,Una,115,163,278
2019-04-01,Himachal Pradesh,Bilaspur,84,90,174
2019-04-01,Himachal Pradesh,Solan,83,112,195
2019-04-01,Himachal Pradesh,Sirmaur,61,106,167
2019-04-01,Himachal Pradesh,Shimla,169,275,444
2019-04-01,Himachal Pradesh,Kinnaur,7,8,15
2019-05-01,Himachal Pradesh,Chamba,69,112,181
2019-05-01,Himachal Pradesh,Kangra,335,436,771
2019-05-01,Himachal Pradesh,Lahul & Spiti,2,5,7
2019-05-01,Himachal Pradesh,Kullu,83,115,198
2019-05-01,Himachal Pradesh,Mandi,174,246,420
2019-05-01,Himachal Pradesh,Hamirpur,85,111,196
2019-05-01,Himachal Pradesh,Una,117,146,263
2019-05-01,Himachal Pradesh,Bilaspur,64,94,158
2019-05-01,Himachal Pradesh,Solan,86,127,213
2019-05-01,Himachal Pradesh,Sirmaur,60,106,166
2019-05-01,Himachal Pradesh,Shimla,173,265,438
2019-05-01,Himachal Pradesh,Kinnaur,3,7,10
2019-06-01,Himachal Pradesh,Chamba,107,117,224
2019-06-01,Himachal Pradesh,Kangra,357,488,845
2019-06-01,Himachal Pradesh,Lahul & Spiti,5,8,13
2019-06-01,Himachal Pradesh,Kullu,97,147,244
2019-06-01,Himachal Pradesh,Mandi,204,234,438
2019-06-01,Himachal Pradesh,Hamirpur,88,133,221
2019-06-01,Himachal Pradesh,Una,133,158,291
2019-06-01,Himachal Pradesh,Bilaspur,83,107,190
2019-06-01,Himachal Pradesh,Solan,75,120,195
2019-06-01,Himachal Pradesh,Sirmaur,83,128,211
2019-06-01,Himachal Pradesh,Shimla,160,238,398
2019-06-01,Himachal Pradesh,Kinnaur,4,11,15
2019-07-01,Himachal Pradesh,Chamba,77,117,194
2019-07-01,Himachal Pradesh,Kangra,314,456,770
2019-07-01,Himachal Pradesh,Lahul & Spiti,6,7,13
2019-07-01,Himachal Pradesh,Kullu,70,116,186
2019-07-01,Himachal Pradesh,Mandi,169,213,382
2019-07-01,Himachal Pradesh,Hamirpur,78,93,171
2019-07-01,Himachal Pradesh,Una,107,157,264
2019-07-01,Himachal Pradesh,Bilaspur,71,102,173
2019-07-01,Himachal Pradesh,Solan,78,131,209
2019-07-01,Himachal Pradesh,Sirmaur,66,94,160
2019-07-01,Himachal Pradesh,Shimla,172,244,416
2019-07-01,Himachal Pradesh,Kinnaur,1,6,7
2019-08-01,Himachal Pradesh,Chamba,97,127,224
2019-08-01,Himachal Pradesh,Kangra,346,448,794
2019-08-01,Himachal Pradesh,Lahul & Spiti,6,9,15
2019-08-01,Himachal Pradesh,Kullu,92,108,200
2019-08-01,Himachal Pradesh,Mandi,189,247,436
2019-08-01,Himachal Pradesh,Hamirpur,85,135,220
2019-08-01,Himachal Pradesh,Una,114,168,282
2019-08-01,Himachal Pradesh,Bilaspur,70,95,165
2019-08-01,Himachal Pradesh,Solan,75,144,219
2019-08-01,Himachal Pradesh,Sirmaur,75,106,181
2019-08-01,Himachal Pradesh,Shimla,193,237,430
2019-08-01,Himachal Pradesh,Kinnaur,4,6,10
2019-09-01,Himachal Pradesh,Chamba,80,90,170
2019-09-01,Himachal Pradesh,Kangra,374,503,877
2019-09-01,Himachal Pradesh,Lahul & Spiti,8,6,14
2019-09-01,Himachal Pradesh,Kullu,82,123,205
2019-09-01,Himachal Pradesh,Mandi,172,250,422
2019-09-01,Himachal Pradesh,Hamirpur,101,125,226
2019-09-01,Himachal Pradesh,Una,124,168,292
2019-09-01,Himachal Pradesh,Bilaspur,65,99,164
2019-09-01,Himachal Pradesh,Solan,74,119,193
2019-09-01,Himachal Pradesh,Sirmaur,79,106,185
2019-09-01,Himachal Pradesh,Shimla,158,250,408
2019-09-01,Himachal Pradesh,Kinnaur,3,15,18
2019-10-01,Himachal Pradesh,Chamba,86,118,204
2019-10-01,Himachal Pradesh,Kangra,346,528,874
2019-10-01,Himachal Pradesh,Lahul & Spiti,8,8,16
2019-10-01,Himachal Pradesh,Kullu,69,127,196
2019-10-01,Himachal Pradesh,Mandi,170,261,431
2019-10-01,Himachal Pradesh,Hamirpur,119,126,245
2019-10-01,Himachal Pradesh,Una,114,189,303
2019-10-01,Himachal Pradesh,Bilaspur,71,127,198
2019-10-01,Himachal Pradesh,Solan,71,136,207
2019-10-01,Himachal Pradesh,Sirmaur,70,119,189
2019-10-01,Himachal Pradesh,Shimla,178,278,456
2019-10-01,Himachal Pradesh,Kinnaur,4,7,11
2019-11-01,Himachal Pradesh,Chamba,68,121,189
2019-11-01,Himachal Pradesh,Kangra,416,559,975
2019-11-01,Himachal Pradesh,Lahul & Spiti,5,12,17
2019-11-01,Himachal Pradesh,Kullu,66,147,213
2019-11-01,Himachal Pradesh,Mandi,197,276,473
2019-11-01,Himachal Pradesh,Hamirpur,94,133,227
2019-11-01,Himachal Pradesh,Una,125,170,295
2019-11-01,Himachal Pradesh,Bilaspur,74,106,180
2019-11-01,Himachal Pradesh,Solan,104,154,258
2019-11-01,Himachal Pradesh,Sirmaur,68,141,209
2019-11-01,Himachal Pradesh,Shimla,193,246,439
2019-11-01,Himachal Pradesh,Kinnaur,11,9,20
2019-12-01,Himachal Pradesh,Chamba,114,155,269
2019-12-01,Himachal Pradesh,Kangra,445,621,1066
2019-12-01,Himachal Pradesh,Lahul & Spiti,6,5,11
2019-12-01,Himachal Pradesh,Kullu,105,142,247
2019-12-01,Himachal Pradesh,Mandi,222,280,502
2019-12-01,Himachal Pradesh,Hamirpur,144,195,339
2019-12-01,Himachal Pradesh,Una,169,237,406
2019-12-01,Himachal Pradesh,Bilaspur,96,123,219
2019-12-01,Himachal Pradesh,Solan,123,178,301
2019-12-01,Himachal Pradesh,Sirmaur,82,122,204
2019-12-01,Himachal Pradesh,Shimla,187,286,473
2019-12-01,Himachal Pradesh,Kinnaur,3,10,13
2020-01-01,Himachal Pradesh,Chamba,95,106,201
2020-01-01,Himachal Pradesh,Kangra,416,617,1033
2020-01-01,Himachal Pradesh,Lahul & Spiti,5,7,12
2020-01-01,Himachal Pradesh,Kullu,116,148,264
2020-01-01,Himachal Pradesh,Mandi,243,339,582
2020-01-01,Himachal Pradesh,Hamirpur,134,182,316
2020-01-01,Himachal Pradesh,Una,184,230,414
2020-01-01,Himachal Pradesh,Bilaspur,96,115,211
2020-01-01,Himachal Pradesh,Solan,128,180,308
2020-01-01,Himachal Pradesh,Sirmaur,79,162,241
2020-01-01,Himachal Pradesh,Shimla,200,285,485
2020-01-01,Himachal Pradesh,Kinnaur,7,15,22
2020-02-01,Himachal Pradesh,Chamba,101,106,207
2020-02-01,Himachal Pradesh,Kangra,392,511,903
2020-02-01,Himachal Pradesh,Lahul & Spiti,5,6,11
2020-02-01,Himachal Pradesh,Kullu,96,137,233
2020-02-01,Himachal Pradesh,Mandi,200,264,464
2020-02-01,Himachal Pradesh,Hamirpur,113,170,283
2020-02-01,Himachal Pradesh,Una,139,184,323
2020-02-01,Himachal Pradesh,Bilaspur,95,101,196
2020-02-01,Himachal Pradesh,Solan,107,151,258
2020-02-01,Himachal Pradesh,Sirmaur,86,111,197
2020-02-01,Himachal Pradesh,Shimla,195,256,451
2020-02-01,Himachal Pradesh,Kinnaur,8,8,16
2020-03-01,Himachal Pradesh,Chamba,60,101,161
2020-03-01,Himachal Pradesh,Kangra,340,492,832
2020-03-01,Himachal Pradesh,Lahul & Spiti,5,7,12
2020-03-01,Himachal Pradesh,Kullu,74,116,190
2020-03-01,Himachal Pradesh,Mandi,187,236,423
2020-03-01,Himachal Pradesh,Hamirpur,106,135,241
2020-03-01,Himachal Pradesh,Una,141,177,318
2020-03-01,Himachal Pradesh,Bilaspur,77,104,181
2020-03-01,Himachal Pradesh,Solan,94,127,221
2020-03-01,Himachal Pradesh,Sirmaur,64,114,178
2020-03-01,Himachal Pradesh,Shimla,145,266,411
2020-03-01,Himachal Pradesh,Kinnaur,3,4,7
2020-04-01,Himachal Pradesh,Chamba,71,89,160
2020-04-01,Himachal Pradesh,Kangra,305,485,790
2020-04-01,Himachal Pradesh,Lahul & Spiti,5,5,10
2020-04-01,Himachal Pradesh,Kullu,81,124,205
2020-04-01,Himachal Pradesh,Mandi,165,222,387
2020-04-01,Himachal Pradesh,Hamirpur,105,109,214
2020-04-01,Himachal Pradesh,Una,114,144,258
2020-04-01,Himachal Pradesh,Bilaspur,57,90,147
2020-04-01,Himachal Pradesh,Solan,77,111,188
2020-04-01,Himachal Pradesh,Sirmaur,73,86,159
2020-04-01,Himachal Pradesh,Shimla,142,237,379
2020-04-01,Himachal Pradesh,Kinnaur,2,5,7
2020-05-01,Himachal Pradesh,Chamba,69,107,176
2020-05-01,Himachal Pradesh,Kangra,373,479,852
2020-05-01,Himachal Pradesh,Lahul & Spiti,7,9,16
2020-05-01,Himachal Pradesh,Kullu,82,96,178
2020-05-01,Himachal Pradesh,Mandi,179,237,416
2020-05-01,Himachal Pradesh,Hamirpur,98,133,231
2020-05-01,Himachal Pradesh,Una,124,150,274
2020-05-01,Himachal Pradesh,Bilaspur,66,89,155
2020-05-01,Himachal Pradesh,Solan,96,117,213
2020-05-01,Himachal Pradesh,Sirmaur,80,102,182
2020-05-01,Himachal Pradesh,Shimla,150,244,394
2020-05-01,Himachal Pradesh,Kinnaur,5,4,9
2020-06-01,Himachal Pradesh,Chamba,77,94,171
2020-06-01,Himachal Pradesh,Kangra,343,476,819
2020-06-01,Himachal Pradesh,Lahul & Spiti,5,10,15
2020-06-01,Himachal Pradesh,Kullu,93,101,194
2020-06-01,Himachal Pradesh,Mandi,149,214,363
2020-06-01,Himachal Pradesh,Hamirpur,85,143,228
2020-06-01,Himachal Pradesh,Una,111,174,285
2020-06-01,Himachal Pradesh,Bilaspur,70,94,164
2020-06-01,Himachal Pradesh,Solan,85,137,222
2020-06-01,Himachal Pradesh,Sirmaur,73,105,178
2020-06-01,Himachal Pradesh,Shimla,175,219,394
2020-06-01,Himachal Pradesh,Kinnaur,9,11,20
2020-07-01,Himachal Pradesh,Chamba,75,72,147
2020-07-01,Himachal Pradesh,Kangra,301,495,796
2020-07-01,Himachal Pradesh,Lahul & Spiti,3,14,17
2020-07-01,Himachal Pradesh,Kullu,74,109,183
2020-07-01,Himachal Pradesh,Mandi,174,225,399
2020-07-01,Himachal Pradesh,Hamirpur,87,135,222
2020-07-01,Himachal Pradesh,Una,108,147,255
2020-07-01,Himachal Pradesh,Bilaspur,51,81,132
2020-07-01,Himachal Pradesh,Solan,77,156,233
2020-07-01,Himachal Pradesh,Sirmaur,76,115,191
2020-07-01,Himachal Pradesh,Shimla,145,245,390
2020-07-01,Himachal Pradesh,Kinnaur,9,8,17
2020-08-01,Himachal Pradesh,Chamba,79,81,160
2020-08-01,Himachal Pradesh,Kangra,342,524,866
2020-08-01,Himachal Pradesh,Lahul & Spiti,4,6,10
2020-08-01,Himachal Pradesh,Kullu,90,119,209
2020-08-01,Himachal Pradesh,Mandi,168,237,405
2020-08-01,Himachal Pradesh,Hamirpur,117,142,259
2020-08-01,Himachal Pradesh,Una,116,181,297
2020-08-01,Himachal Pradesh,Bilaspur,69,96,165
2020-08-01,Himachal Pradesh,Solan,102,154,256
2020-08-01,Himachal Pradesh,Sirmaur,76,108,184
2020-08-01,Himachal Pradesh,Shimla,189,266,455
2020-08-01,Himachal Pradesh,Kinnaur,3,9,12
2020-09-01,Himachal Pradesh,Chamba,64,111,175
2020-09-01,Himachal Pradesh,Kangra,370,534,904
2020-09-01,Himachal Pradesh,Lahul & Spiti,1,5,6
2020-09-01,Himachal Pradesh,Kullu,86,139,225
2020-09-01,Himachal Pradesh,Mandi,189,258,447
2020-09-01,Himachal Pradesh,Hamirpur,99,144,243
2020-09-01,Himachal Pradesh,Una,158,190,348
2020-09-01,Himachal Pradesh,Bilaspur,75,94,169
2020-09-01,Himachal Pradesh,Solan,103,164,267
2020-09-01,Himachal Pradesh,Sirmaur,69,134,203
2020-09-01,Himachal Pradesh,Shimla,205,323,528
2020-09-01,Himachal Pradesh,Kinnaur,5,10,15
2020-10-01,Himachal Pradesh,Chamba,76,108,184
2020-10-01,Himachal Pradesh,Kangra,361,578,939
2020-10-01,Himachal Pradesh,Lahul & Spiti,11,13,24
2020-10-01,Himachal Pradesh,Kullu,93,161,254
2020-10-01,Himachal Pradesh,Mandi,186,289,475
2020-10-01,Himachal Pradesh,Hamirpur,87,184,271
2020-10-01,Himachal Pradesh,Una,134,199,333
2020-10-01,Himachal Pradesh,Bilaspur,80,117,197
2020-10-01,Himachal Pradesh,Solan,124,153,277
2020-10-01,Himachal Pradesh,Sirmaur,73,104,177
2020-10-01,Himachal Pradesh,Shimla,221,297,518
2020-10-01,Himachal Pradesh,Kinnaur,4,12,16
2020-11-01,Himachal Pradesh,Chamba,95,144,239
2020-11-01,Himachal Pradesh,Kangra,494,688,1182
2020-11-01,Himachal Pradesh,Lahul & Spiti,17,22,39
2020-11-01,Himachal Pradesh,Kullu,154,244,398
2020-11-01,Himachal Pradesh,Mandi,251,372,623
2020-11-01,Himachal Pradesh,Hamirpur,137,186,323
2020-11-01,Himachal Pradesh,Una,170,203,373
2020-11-01,Himachal Pradesh,Bilaspur,90,110,200
2020-11-01,Himachal Pradesh,Solan,104,172,276
2020-11-01,Himachal Pradesh,Sirmaur,69,135,204
2020-11-01,Himachal Pradesh,Shimla,278,486,764
2020-11-01,Himachal Pradesh,Kinnaur,9,17,26
