date,state,district,deaths
2015-01-01,Kerala,Alappuzha,1412
2015-01-01,Kerala,Ernakulam,2292
2015-01-01,Kerala,Idukki,612
2015-01-01,Kerala,Kannur,1577
2015-01-01,Kerala,Kasaragod,703
2015-01-01,Kerala,Kollam,1734
2015-01-01,Kerala,Kottayam,1681
2015-01-01,Kerala,Kozhikode,2058
2015-01-01,Kerala,Malappuram,1658
2015-01-01,Kerala,Palakkad,1683
2015-01-01,Kerala,Pathanamthitta,1074
2015-01-01,Kerala,Thiruvananthapuram,2712
2015-01-01,Kerala,Thrissur,2365
2015-01-01,Kerala,Wayanad,435
2015-02-01,Kerala,Alappuzha,1174
2015-02-01,Kerala,Ernakulam,1696
2015-02-01,Kerala,Idukki,471
2015-02-01,Kerala,Kannur,1348
2015-02-01,Kerala,Kasaragod,581
2015-02-01,Kerala,Kollam,1430
2015-02-01,Kerala,Kottayam,1364
2015-02-01,Kerala,Kozhikode,1812
2015-02-01,Kerala,Malappuram,1485
2015-02-01,Kerala,Palakkad,1302
2015-02-01,Kerala,Pathanamthitta,814
2015-02-01,Kerala,Thiruvananthapuram,2353
2015-02-01,Kerala,Thrissur,2016
2015-02-01,Kerala,Wayanad,369
2015-03-01,Kerala,Alappuzha,1320
2015-03-01,Kerala,Ernakulam,1530
2015-03-01,Kerala,Idukki,503
2015-03-01,Kerala,Kannur,1463
2015-03-01,Kerala,Kasaragod,553
2015-03-01,Kerala,Kollam,1508
2015-03-01,Kerala,Kottayam,1541
2015-03-01,Kerala,Kozhikode,1907
2015-03-01,Kerala,Malappuram,1477
2015-03-01,Kerala,Palakkad,1399
2015-03-01,Kerala,Pathanamthitta,838
2015-03-01,Kerala,Thiruvananthapuram,2487
2015-03-01,Kerala,Thrissur,2179
2015-03-01,Kerala,Wayanad,373
2015-04-01,Kerala,Alappuzha,1174
2015-04-01,Kerala,Ernakulam,1379
2015-04-01,Kerala,Idukki,496
2015-04-01,Kerala,Kannur,1265
2015-04-01,Kerala,Kasaragod,502
2015-04-01,Kerala,Kollam,1390
2015-04-01,Kerala,Kottayam,1390
2015-04-01,Kerala,Kozhikode,1806
2015-04-01,Kerala,Malappuram,1409
2015-04-01,Kerala,Palakkad,1312
2015-04-01,Kerala,Pathanamthitta,853
2015-04-01,Kerala,Thiruvananthapuram,2467
2015-04-01,Kerala,Thrissur,2049
2015-04-01,Kerala,Wayanad,315
2015-05-01,Kerala,Alappuzha,1274
2015-05-01,Kerala,Ernakulam,1500
2015-05-01,Kerala,Idukki,518
2015-05-01,Kerala,Kannur,1275
2015-05-01,Kerala,Kasaragod,548
2015-05-01,Kerala,Kollam,1521
2015-05-01,Kerala,Kottayam,1597
2015-05-01,Kerala,Kozhikode,1878
2015-05-01,Kerala,Malappuram,1569
2015-05-01,Kerala,Palakkad,1337
2015-05-01,Kerala,Pathanamthitta,952
2015-05-01,Kerala,Thiruvananthapuram,2531
2015-05-01,Kerala,Thrissur,2224
2015-05-01,Kerala,Wayanad,323
2015-06-01,Kerala,Alappuzha,1262
2015-06-01,Kerala,Ernakulam,1433
2015-06-01,Kerala,Idukki,510
2015-06-01,Kerala,Kannur,1369
2015-06-01,Kerala,Kasaragod,557
2015-06-01,Kerala,Kollam,1523
2015-06-01,Kerala,Kottayam,1360
2015-06-01,Kerala,Kozhikode,1919
2015-06-01,Kerala,Malappuram,1563
2015-06-01,Kerala,Palakkad,1328
2015-06-01,Kerala,Pathanamthitta,890
2015-06-01,Kerala,Thiruvananthapuram,2287
2015-06-01,Kerala,Thrissur,2040
2015-06-01,Kerala,Wayanad,324
2015-07-01,Kerala,Alappuzha,1351
2015-07-01,Kerala,Ernakulam,1696
2015-07-01,Kerala,Idukki,588
2015-07-01,Kerala,Kannur,1560
2015-07-01,Kerala,Kasaragod,618
2015-07-01,Kerala,Kollam,1685
2015-07-01,Kerala,Kottayam,1606
2015-07-01,Kerala,Kozhikode,2346
2015-07-01,Kerala,Malappuram,1851
2015-07-01,Kerala,Palakkad,1559
2015-07-01,Kerala,Pathanamthitta,970
2015-07-01,Kerala,Thiruvananthapuram,2417
2015-07-01,Kerala,Thrissur,2364
2015-07-01,Kerala,Wayanad,343
2015-08-01,Kerala,Alappuzha,1341
2015-08-01,Kerala,Ernakulam,1723
2015-08-01,Kerala,Idukki,532
2015-08-01,Kerala,Kannur,1615
2015-08-01,Kerala,Kasaragod,652
2015-08-01,Kerala,Kollam,1633
2015-08-01,Kerala,Kottayam,1625
2015-08-01,Kerala,Kozhikode,2221
2015-08-01,Kerala,Malappuram,1814
2015-08-01,Kerala,Palakkad,1467
2015-08-01,Kerala,Pathanamthitta,1026
2015-08-01,Kerala,Thiruvananthapuram,2474
2015-08-01,Kerala,Thrissur,2379
2015-08-01,Kerala,Wayanad,383
2015-09-01,Kerala,Alappuzha,1266
2015-09-01,Kerala,Ernakulam,1543
2015-09-01,Kerala,Idukki,540
2015-09-01,Kerala,Kannur,1465
2015-09-01,Kerala,Kasaragod,605
2015-09-01,Kerala,Kollam,1556
2015-09-01,Kerala,Kottayam,1535
2015-09-01,Kerala,Kozhikode,1939
2015-09-01,Kerala,Malappuram,1425
2015-09-01,Kerala,Palakkad,1324
2015-09-01,Kerala,Pathanamthitta,907
2015-09-01,Kerala,Thiruvananthapuram,2294
2015-09-01,Kerala,Thrissur,2178
2015-09-01,Kerala,Wayanad,324
2015-10-01,Kerala,Alappuzha,1280
2015-10-01,Kerala,Ernakulam,1552
2015-10-01,Kerala,Idukki,544
2015-10-01,Kerala,Kannur,1490
2015-10-01,Kerala,Kasaragod,599
2015-10-01,Kerala,Kollam,1587
2015-10-01,Kerala,Kottayam,1503
2015-10-01,Kerala,Kozhikode,1972
2015-10-01,Kerala,Malappuram,1645
2015-10-01,Kerala,Palakkad,1358
2015-10-01,Kerala,Pathanamthitta,1000
2015-10-01,Kerala,Thiruvananthapuram,2476
2015-10-01,Kerala,Thrissur,2198
2015-10-01,Kerala,Wayanad,349
2015-11-01,Kerala,Alappuzha,1458
2015-11-01,Kerala,Ernakulam,1616
2015-11-01,Kerala,Idukki,542
2015-11-01,Kerala,Kannur,1420
2015-11-01,Kerala,Kasaragod,595
2015-11-01,Kerala,Kollam,1628
2015-11-01,Kerala,Kottayam,1675
2015-11-01,Kerala,Kozhikode,2154
2015-11-01,Kerala,Malappuram,1824
2015-11-01,Kerala,Palakkad,1534
2015-11-01,Kerala,Pathanamthitta,1024
2015-11-01,Kerala,Thiruvananthapuram,2661
