date,state,district,female,male,deaths
2018-01-01,Maharashtra,Nandurbar,301,500,801
2018-01-01,Maharashtra,Dhule,330,549,879
2018-01-01,Maharashtra,Jalgaon,370,588,958
2018-01-01,Maharashtra,Buldana,223,310,533
2018-01-01,Maharashtra,Akola,378,537,915
2018-01-01,Maharashtra,Washim,69,127,196
2018-01-01,Maharashtra,Amravati,689,1059,1748
2018-01-01,Maharashtra,Wardha,292,470,762
2018-01-01,Maharashtra,Nagpur,1308,1924,3232
2018-01-01,Maharashtra,Bhandara,247,308,555
2018-01-01,Maharashtra,Gondiya,35,61,96
2018-01-01,Maharashtra,Gadchiroli,160,213,373
2018-01-01,Maharashtra,Chandrapur,262,374,636
2018-01-01,Maharashtra,Yavatmal,195,331,526
2018-01-01,Maharashtra,Nanded,363,555,918
2018-01-01,Maharashtra,Hingoli,51,95,146
2018-01-01,Maharashtra,Parbhani,194,310,504
2018-01-01,Maharashtra,Jalna,173,325,498
2018-01-01,Maharashtra,Aurangabad,290,560,850
2018-01-01,Maharashtra,Nashik,906,1293,2199
2018-01-01,Maharashtra,Thane,988,1403,2391
2018-01-01,Maharashtra,Mumbai Suburban,2090,2501,4591
2018-01-01,Maharashtra,Mumbai,1406,1998,3404
2018-01-01,Maharashtra,Raigarh,161,284,445
2018-01-01,Maharashtra,Pune,766,1154,1920
2018-01-01,Maharashtra,Ahmednagar,495,868,1363
2018-01-01,Maharashtra,Beed,239,352,591
2018-01-01,Maharashtra,Latur,315,555,870
2018-01-01,Maharashtra,Osmanabad,135,196,331
2018-01-01,Maharashtra,Solapur,483,788,1271
2018-01-01,Maharashtra,Satara,832,1103,1935
2018-01-01,Maharashtra,Ratnagiri,167,230,397
2018-01-01,Maharashtra,Sindhudurg,264,289,553
2018-01-01,Maharashtra,Kolhapur,501,701,1202
2018-01-01,Maharashtra,Sangli,362,514,876
2018-01-01,Maharashtra,Palghar,288,461,749
2018-02-01,Maharashtra,Nandurbar,263,413,676
2018-02-01,Maharashtra,Dhule,296,487,783
2018-02-01,Maharashtra,Jalgaon,347,530,877
2018-02-01,Maharashtra,Buldana,163,275,438
2018-02-01,Maharashtra,Akola,340,502,842
2018-02-01,Maharashtra,Washim,75,129,204
2018-02-01,Maharashtra,Amravati,649,934,1583
2018-02-01,Maharashtra,Wardha,246,394,640
2018-02-01,Maharashtra,Nagpur,1149,1689,2838
2018-02-01,Maharashtra,Bhandara,178,235,413
2018-02-01,Maharashtra,Gondiya,30,40,70
2018-02-01,Maharashtra,Gadchiroli,105,139,244
2018-02-01,Maharashtra,Chandrapur,236,270,506
2018-02-01,Maharashtra,Yavatmal,218,284,502
2018-02-01,Maharashtra,Nanded,268,527,795
2018-02-01,Maharashtra,Hingoli,52,98,150
2018-02-01,Maharashtra,Parbhani,176,254,430
2018-02-01,Maharashtra,Jalna,137,285,422
2018-02-01,Maharashtra,Aurangabad,302,527,829
2018-02-01,Maharashtra,Nashik,798,1090,1888
2018-02-01,Maharashtra,Thane,827,1148,1975
2018-02-01,Maharashtra,Mumbai Suburban,1792,2122,3914
2018-02-01,Maharashtra,Mumbai,1225,1825,3050
2018-02-01,Maharashtra,Raigarh,186,207,393
2018-02-01,Maharashtra,Pune,625,997,1622
