date,state,district,female,male,deaths
2018-01-01,West Bengal,Darjeeling ,3.0,8.0,11
2018-01-01,West Bengal,Jalpaiguri ,472.0,704.0,1176
2018-01-01,West Bengal,Koch Bihar ,302.0,473.0,775
2018-01-01,West Bengal,Uttar Dinajpur,553.0,861.0,1414
2018-01-01,West Bengal,Dakshin Dinajpur,362.0,527.0,889
2018-01-01,West Bengal,Maldah ,791.0,1132.0,1923
2018-01-01,West Bengal,Murshidabad ,1832.0,2142.0,3974
2018-01-01,West Bengal,Birbhum,956.0,1309.0,2265
2018-01-01,West Bengal,Purba Bardhaman ,1260.0,1689.0,2949
2018-01-01,West Bengal,Nadia ,1191.0,1742.0,2933
2018-01-01,West Bengal,North Twenty Four Parganas,106.0,128.0,234
2018-01-01,West Bengal,Hooghly,1964.0,2573.0,4537
2018-01-01,West Bengal,Bankura ,743.0,966.0,1709
2018-01-01,West Bengal,Puruliya,435.0,663.0,1098
2018-01-01,West Bengal,Howrah,1023.0,1482.0,2505
2018-01-01,West Bengal,South Twenty Four Parganas,841.0,1054.0,1895
2018-01-01,West Bengal,Paschim Medinipur,298.0,383.0,681
2018-01-01,West Bengal,Purba Medinipur,1325.0,1585.0,2910
2018-01-01,West Bengal,Alipurduar,386.0,598.0,984
2018-01-01,West Bengal,Jhargram,21.0,42.0,63
2018-01-01,West Bengal,Paschim Bardhaman,341.0,508.0,849
2018-02-01,West Bengal,Darjeeling ,2.0,4.0,6
2018-02-01,West Bengal,Jalpaiguri ,345.0,582.0,927
2018-02-01,West Bengal,Koch Bihar ,252.0,339.0,591
2018-02-01,West Bengal,Uttar Dinajpur,454.0,660.0,1114
2018-02-01,West Bengal,Dakshin Dinajpur,294.0,396.0,690
2018-02-01,West Bengal,Maldah ,618.0,832.0,1450
2018-02-01,West Bengal,Murshidabad ,1302.0,1624.0,2926
2018-02-01,West Bengal,Birbhum,698.0,975.0,1673
2018-02-01,West Bengal,Purba Bardhaman ,874.0,1255.0,2129
2018-02-01,West Bengal,Nadia ,844.0,1189.0,2033
2018-02-01,West Bengal,North Twenty Four Parganas,72.0,109.0,181
2018-02-01,West Bengal,Hooghly,1322.0,1708.0,3030
2018-02-01,West Bengal,Bankura ,533.0,658.0,1191
2018-02-01,West Bengal,Puruliya,336.0,443.0,779
2018-02-01,West Bengal,Howrah,754.0,1032.0,1786
2018-02-01,West Bengal,South Twenty Four Parganas,558.0,766.0,1324
2018-02-01,West Bengal,Paschim Medinipur,233.0,285.0,518
2018-02-01,West Bengal,Purba Medinipur,932.0,1087.0,2019
2018-02-01,West Bengal,Alipurduar,304.0,463.0,767
2018-02-01,West Bengal,Jhargram,9.0,23.0,32
2018-02-01,West Bengal,Paschim Bardhaman,279.0,426.0,705
2018-03-01,West Bengal,Darjeeling ,4.0,6.0,10
2018-03-01,West Bengal,Jalpaiguri ,353.0,554.0,907
2018-03-01,West Bengal,Koch Bihar ,267.0,397.0,664
2018-03-01,West Bengal,Uttar Dinajpur,406.0,678.0,1084
2018-03-01,West Bengal,Dakshin Dinajpur,270.0,397.0,667
2018-03-01,West Bengal,Maldah ,534.0,900.0,1434
2018-03-01,West Bengal,Murshidabad ,1147.0,1597.0,2744
2018-03-01,West Bengal,Birbhum,643.0,981.0,1624
2018-03-01,West Bengal,Purba Bardhaman ,894.0,1255.0,2149
2018-03-01,West Bengal,Nadia ,766.0,1141.0,1907
2018-03-01,West Bengal,North Twenty Four Parganas,78.0,112.0,190
2018-03-01,West Bengal,Hooghly,1150.0,1642.0,2792
2018-03-01,West Bengal,Bankura ,447.0,647.0,1094
2018-03-01,West Bengal,Puruliya,280.0,450.0,730
2018-03-01,West Bengal,Howrah,602.0,912.0,1514
2018-03-01,West Bengal,South Twenty Four Parganas,485.0,724.0,1209
2018-03-01,West Bengal,Paschim Medinipur,184.0,246.0,430
2018-03-01,West Bengal,Purba Medinipur,816.0,989.0,1805
2018-03-01,West Bengal,Alipurduar,310.0,473.0,783
2018-03-01,West Bengal,Jhargram,20.0,34.0,54
2018-03-01,West Bengal,Paschim Bardhaman,264.0,378.0,642
2018-04-01,West Bengal,Darjeeling ,2.0,5.0,7
2018-04-01,West Bengal,Jalpaiguri ,296.0,469.0,765
2018-04-01,West Bengal,Koch Bihar ,213.0,394.0,607
2018-04-01,West Bengal,Uttar Dinajpur,293.0,468.0,761
2018-04-01,West Bengal,Dakshin Dinajpur,197.0,305.0,502
2018-04-01,West Bengal,Maldah ,481.0,741.0,1222
2018-04-01,West Bengal,Murshidabad ,982.0,1361.0,2343
2018-04-01,West Bengal,Birbhum,577.0,787.0,1364
2018-04-01,West Bengal,Purba Bardhaman ,754.0,1132.0,1886
2018-04-01,West Bengal,Nadia ,654.0,965.0,1619
2018-04-01,West Bengal,North Twenty Four Parganas,121.0,116.0,237
2018-04-01,West Bengal,Hooghly,1028.0,1375.0,2403
2018-04-01,West Bengal,Bankura ,361.0,518.0,879
2018-04-01,West Bengal,Puruliya,215.0,352.0,567
2018-04-01,West Bengal,Howrah,525.0,712.0,1237
2018-04-01,West Bengal,South Twenty Four Parganas,402.0,651.0,1053
2018-04-01,West Bengal,Paschim Medinipur,196.0,252.0,448
2018-04-01,West Bengal,Purba Medinipur,694.0,910.0,1604
2018-04-01,West Bengal,Alipurduar,248.0,386.0,634
2018-04-01,West Bengal,Jhargram,23.0,38.0,61
