date,state,district,deaths
2018-01-01,West Bengal,Kolkata,8293
2018-02-01,West Bengal,Kolkata,6165
2018-03-01,West Bengal,Kolkata,5553
2018-04-01,West Bengal,Kolkata,4785
2018-05-01,West Bengal,Kolkata,4964
2018-06-01,West Bengal,Kolkata,5020
2018-07-01,West Bengal,Kolkata,4874
2018-08-01,West Bengal,Kolkata,5551
2018-09-01,West Bengal,Kolkata,5486
2018-10-01,West Bengal,Kolkata,5868
2018-11-01,West Bengal,Kolkata,5667
2018-12-01,West Bengal,Kolkata,7075
2019-01-01,West Bengal,Kolkata,7862
2019-02-01,West Bengal,Kolkata,6536
2019-03-01,West Bengal,Kolkata,6169
2019-04-01,West Bengal,Kolkata,5180
2019-05-01,West Bengal,Kolkata,5293
2019-06-01,West Bengal,Kolkata,5356
2019-07-01,West Bengal,Kolkata,5360
2019-08-01,West Bengal,Kolkata,5048
2019-09-01,West Bengal,Kolkata,5029
2019-10-01,West Bengal,Kolkata,5785
2019-11-01,West Bengal,Kolkata,5841
2019-12-01,West Bengal,Kolkata,6619
2020-01-01,West Bengal,Kolkata,7532
2020-02-01,West Bengal,Kolkata,6382
2020-03-01,West Bengal,Kolkata,5385
2020-04-01,West Bengal,Kolkata,4832
2020-05-01,West Bengal,Kolkata,5361
2020-06-01,West Bengal,Kolkata,4975
2020-07-01,West Bengal,Kolkata,6598
2020-08-01,West Bengal,Kolkata,6550
2020-09-01,West Bengal,Kolkata,6039
2020-10-01,West Bengal,Kolkata,6943
2020-10-01,West Bengal,Kolkata,7223
2020-12-01,West Bengal,Kolkata,7446
2021-01-01,West Bengal,Kolkata,6387
2021-02-01,West Bengal,Kolkata,5160
2021-03-01,West Bengal,Kolkata,4384
2021-04-01,West Bengal,Kolkata,7945
2021-05-01,West Bengal,Kolkata,12665
